ObjectType,OldID,NewID,ObjectName,FilePath,Status
Table,34002530,55481,"Transacciones TPV","src/tables/Table 34002530 - Transacciones TPV.al",Renumbered
Table,34002531,55482,"Divisas DsPOS","src/tables/Table 34002531 - Divisas DsPOS.al",Renumbered
Table,34002532,55483,"Datos Auxiliares Venta","src/tables/Table 34002532 - Datos Auxiliares Venta.al",Renumbered
Table,34002533,55484,"Cabecera Log Registro POS","src/tables/Table 34002533 - Cabecera Log Registro POS.al",Renumbered
Table,34002534,55485,"Detalle Log Registro DsPOS","src/tables/Table 34002534 - Detalle Log Registro DsPOS.al",Renumbered
Table,34002535,55486,"Pedidos  Aparcados","src/tables/Table 34002535 - Pedidos  Aparcados.al",Renumbered
Table,34002536,55487,"Dimensiones  POS","src/tables/Table 34002536 - Dimensiones  POS.al",Renumbered
Table,34002537,55488,"Clientes  TPV","src/tables/Table 34002537 - Clientes  TPV.al",Renumbered
Table,34002550,55489,"DsPOS Event Buffer","src/tables/Table 34002550 - DsPOSEventBuffer.al",Renumbered
Table,34003000,55490,"Config. Retencion Proveedores","src/tables/Table 34003000 - Config. Retencion Proveedores.al",Renumbered
Table,34003001,55491,"Proveedor - Retencion","src/tables/Table 34003001 - Proveedor - Retencion.al",Renumbered
Table,34003002,55492,"Retencion Doc. Proveedores","src/tables/Table 34003002 - Retencion Doc. Proveedores.al",Renumbered
Table,34003003,55493,"Historico Retencion Prov.","src/tables/Table 34003003 - Historico Retencion Prov..al",Renumbered
Table,34003004,55494,"Archivo Transferencia ITBIS","src/tables/Table 34003004 - Archivo Transferencia ITBIS.al",Renumbered
Table,34003005,55495,"NCF liquidados","src/tables/Table 34003005 - NCF liquidados.al",Renumbered
Table,34003006,55496,"Razones Anulacion NCF","src/tables/Table 34003006 - Razones Anulacion NCF.al",Renumbered
Table,34003007,55497,"TEMP Default Dimension","src/tables/Table 34003007 - TEMP Default Dimension.al",Renumbered
Table,34003008,55498,"Config. Localizacion","src/tables/Table 34003008 - Config. Localizacion.al",Renumbered
Table,34003009,55499,"Clasificacion Gastos","src/tables/Table 34003009 - Clasificacion Gastos.al",Renumbered
Table,34003010,55500,"Config. Distrib. CC","src/tables/Table 34003010 - Config. Distrib. CC.al",Renumbered
Table,34003011,55501,"Parametros Loc. x Pais","src/tables/Table 34003011 - Parametros Loc. x País.al",Renumbered
Table,34003012,55502,"NCF Anulados - GT","src/tables/Table 34003012 - NCF Anulados - GT.al",Renumbered
Table,34003013,55503,"Tipos de ingresos","src/tables/Table 34003013 - Tipos de ingresos.al",Renumbered
Table,34003014,55504,"Temp carta retenciones","src/tables/Table 34003014 - Temp carta retenciones.al",Renumbered
Table,34003020,55505,"Cab. Campos Requeridos","src/tables/Table 34003020 - Cab. Campos Requeridos.al",Renumbered
Table,34003021,55506,"Lin. Campos Req. Maestros","src/tables/Table 34003021 - Lin. Campos Req. Maestros.al",Renumbered
Table,34003022,55507,"Cab. Dimensiones Requeridas","src/tables/Table 34003022 - Cab. Dimensiones Requeridas.al",Renumbered
Table,34003023,55508,"Lin. Dimensiones Req.","src/tables/Table 34003023 - Lin. Dimensiones Req..al",Renumbered
Table,34003024,55509,"RNC DGII","src/tables/Table 34003024 - RNC DGII.al",Renumbered
Table,34003050,55510,"_Clientes TPV","src/tables/Table 34003050 - _Clientes TPV.al",Renumbered
Table,34003051,55511,"Autorizaciones Manuales TPV","src/tables/Table 34003051 - Autorizaciones Manuales TPV.al",Renumbered
Table,34003052,55512,"_Pedidos Aparcados","src/tables/Table 34003052 - _Pedidos Aparcados.al",Renumbered
Table,34003053,55513,"_Dimensiones POS","src/tables/Table 34003053 - _Dimensiones POS.al",Renumbered
